174,154,48,791,536,253,253,30
174,156,48,817,547,236,247,45
173,208,48,828,558,236,246,45
35,184,48,517,567,216,296,51
217,141,48,1248,779,241,385,51
257,191,48,1367,1000,289,506,89
257,115,41,1244,1024,290,468,94
135,86,49,766,912,138,250,50
153,139,49,1101,1111,157,653,89
303,190,133,1750,1407,278,1033,175
325,208,91,1777,1540,194,1040,182
325,244,133,1832,1574,193,1153,184
302,238,133,1944,1605,319,1341,185
337,237,132,1945,1618,318,1468,186
323,239,132,2030,1625,284,1576,186
323,254,133,2052,1814,281,1685,188
323,306,133,2061,1976,270,1760,188
324,307,133,2168,2147,298,1737,188
295,307,133,2264,2343,292,1753,188
285,307,132,2265,2637,279,1760,189
286,304,132,2312,2762,263,1743,189
309,298,132,2296,2799,282,1720,189
314,301,132,2321,2870,274,1715,189
307,305,133,2393,3032,275,1714,189
307,340,133,2341,3385,255,1707,189
339,357,133,2410,3720,161,1664,189
350,342,132,2556,3893,262,1642,189
318,335,132,2601,3956,259,1639,181
302,308,132,2676,4039,205,1628,185
297,306,173,2747,4033,253,1629,211
329,308,132,2660,4048,191,1624,211
368,309,133,2736,4162,187,1622,221
345,310,173,2599,4218,187,1616,212
345,297,133,2601,4318,178,1628,212
345,287,133,2564,4603,175,1595,232
333,314,132,2528,4773,168,1589,255
334,307,174,2671,4836,160,1587,309
334,295,133,2584,4864,227,1613,316
321,244,133,2532,4730,250,1648,373
320,244,133,2644,4819,256,1626,375
337,245,174,2737,4841,211,1615,371
381,245,174,2727,4828,212,1600,372
358,245,132,2678,4918,213,1595,373
340,226,132,2704,4906,190,1605,368
375,226,132,2690,4871,184,1545,371
366,207,132,2734,4895,87,1569,345
383,189,132,2750,4795,170,1560,376
411,169,89,2715,4533,166,1587,371
405,172,132,2741,4468,160,1604,368
402,174,121,2766,4471,196,1604,364
402,176,91,2792,4480,99,1602,358
400,177,121,2970,4465,99,1493,359
401,175,121,2963,4467,146,1493,356
378,159,122,3015,4483,126,1556,353
371,220,122,3042,4470,200,1551,355
426,257,122,3140,4490,234,1534,353
417,258,122,3245,4447,219,1611,356
418,256,122,3090,4432,218,1669,357
397,247,122,3001,4423,219,1732,389
373,230,121,2984,4365,214,1723,363
382,228,122,3013,4316,191,1699,352
356,258,105,3074,4132,195,1688,353
312,280,80,3019,4229,199,1670,352
324,276,133,3031,4174,195,1643,323
345,269,164,2933,4194,198,1522,334
329,258,165,2882,4126,139,1511,361
324,254,123,2910,4090,188,1501,346
324,254,123,2910,4090,188,1501,346
375,239,122,2830,4027,135,1606,347
358,233,165,2858,4004,135,1606,377
339,229,165,2937,3969,136,1640,358
